,gid,Y,총인구,유소년인구,승용차_14시_19시,혼잡빈도강도합,혼잡시간강도합,학원,체육시설,횡단보도,아파트,삼거리,사거리,평균유동인구,신호등,횡단보도길이,주정차단속
28,다사566100,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
29,다사566101,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
30,다사566102,1,0,0,11305.31,177.73,185.43,0,0,0,0,0,0,0,0,0,0
31,다사567084,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
32,다사567085,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,다사568082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,다사568084,0,11,0,0,0,0,0,0,0,0,0,0,13,0,0,0
35,다사568093,0,0,0,2989.42,10.57,36.83,0,0,0,0,0,0,0,0,0,0
36,다사569091,0,0,0,5456.31,210.03,259.62,0,0,0,0,0,0,0,0,0,0
37,다사570092,0,0,0,5854.95,210.03,259.62,0,0,0,0,0,0,2,0,0,0
38,다사571087,0,112,0,839.39,199.56,199.86,0,0,0,0,0,0,0,0,0,0
39,다사571107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,다사572098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,다사572099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,다사572106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,다사572107,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
44,다사572108,0,0,0,1785.79,143.56,176.71,0,0,0,0,0,0,0,0,0,0
45,다사573087,0,0,0,2042.3,9.94,23.55,0,0,0,0,0,0,1,0,0,0
46,다사573088,0,0,0,2042.3,9.94,23.55,0,0,0,0,0,0,1,0,0,0
47,다사573095,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
48,다사573098,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
49,다사573106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,다사573107,0,0,0,1785.79,143.56,176.71,0,0,0,0,0,0,3,0,0,0
51,다사573108,0,0,0,1785.79,143.56,176.71,0,0,0,0,0,0,0,0,0,0
52,다사574087,0,0,0,4241.84,45.76,87.57,0,0,0,0,1,0,4,0,0,0
53,다사574088,0,0,0,2042.3,9.94,23.55,0,0,0,0,0,0,4,0,0,0
54,다사574096,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
55,다사574097,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,다사574108,0,121,0,1785.79,143.56,176.71,0,0,0,0,0,0,9,0,0,0
57,다사574109,0,10,0,1785.79,143.56,176.71,0,0,0,0,0,0,1,0,0,0
58,다사575087,0,0,0,4241.84,45.76,87.57,0,0,0,0,1,0,1,0,0,0
59,다사575089,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,다사575096,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
61,다사575106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,다사575107,0,25,0,1785.79,143.56,176.71,0,0,0,0,0,0,0,0,0,0
63,다사575108,0,71,6,1785.79,143.56,176.71,0,0,0,0,0,0,0,0,0,0
64,다사575109,0,10,0,1785.79,143.56,176.71,0,0,0,0,0,0,0,0,0,0
65,다사576084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,다사576085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,다사576088,0,9,0,2199.54,35.82,64.02,0,0,0,0,0,0,0,0,0,0
68,다사576089,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,다사576090,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,다사576091,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,다사576105,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
72,다사576106,0,0,0,1489.59,157.69,186.13,0,0,0,0,0,0,4,0,0,0
73,다사576107,0,30,0,1489.59,157.69,186.13,0,0,0,0,0,0,14,0,0,0
74,다사576108,0,48,0,4844,395.28,505.51,0,0,0,0,0,1,7,0,0,5
75,다사576109,0,0,0,4844,395.28,505.51,0,0,0,0,0,1,0,0,0,61
76,다사576110,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0
77,다사577084,0,0,0,2877.35,32.17,73.15,0,0,0,0,0,0,15,1,0,0
78,다사577085,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
79,다사577086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,다사577087,0,0,0,2199.54,35.82,64.02,0,0,0,0,0,0,2,0,0,0
81,다사577088,0,14,0,5612.92,101.15,184.53,0,0,0,0,0,0,7,0,0,0
82,다사577089,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0
83,다사577090,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,다사577091,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,다사577092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,다사577105,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
87,다사577106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,다사577107,0,78,0,1489.59,157.69,186.13,0,0,0,0,0,0,8,0,0,0
89,다사577108,0,86,0,4844,395.28,505.51,0,0,0,0,0,1,9,0,0,0
90,다사577109,0,52,0,4844,395.28,505.51,15,0,0,0,0,1,1,0,0,0
91,다사577110,0,10,0,0,0,0,0,0,0,0,0,0,13,0,0,0
92,다사578075,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,다사578076,0,503,88,0,0,0,0,0,0,2,0,0,4,0,0,0
94,다사578077,0,458,96,0,0,0,0,0,0,2,0,0,6,0,0,0
95,다사578078,0,92,23,0,0,0,0,0,0,1,0,0,0,0,0,0
96,다사578085,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
97,다사578086,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
98,다사578087,0,0,0,11014.64,0,0,0,0,0,0,0,0,0,4,0,0
99,다사578088,0,0,0,14382,101.15,184.53,0,0,0,0,0,0,1,2,0,0
100,다사578089,0,12,0,1167.82,65.33,120.51,0,0,0,0,0,0,1,0,0,0
101,다사578090,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,다사578096,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,다사578106,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
104,다사578107,0,50,0,0,0,0,0,0,0,0,0,0,7,0,0,0
105,다사578108,0,116,0,1568.62,94.03,142.67,0,0,0,0,0,0,2,0,0,0
106,다사578109,0,42,6,19726.43,143.1,210.02,0,0,0,0,1,0,0,0,0,0
107,다사578110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,다사579076,0,276,57,0,0,0,0,0,0,1,0,0,2,0,0,0
109,다사579077,0,790,197,0,0,0,0,0,0,3,0,0,3,0,0,0
110,다사579078,0,328,61,3585.75,491.57,568.47,0,0,0,1,0,0,2,0,0,0
111,다사579085,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
112,다사579086,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,다사579089,0,11,0,6882.43,116.1,234.39,0,0,0,0,0,0,3,0,0,0
114,다사579090,0,0,0,2479.54,116.1,234.39,0,0,0,0,0,0,1,0,0,0
115,다사579106,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,다사579107,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,다사579108,0,60,0,5245.91,173.07,274.55,0,0,0,0,0,0,1,0,0,0
118,다사579109,0,12,0,22082.47,173.23,276.34,0,0,0,0,1,0,0,0,0,0
119,다사580070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,다사580077,0,279,70,1006.7,191.68,199.2,0,0,0,1,0,0,2,0,0,0
121,다사580078,0,287,64,3585.75,491.57,568.47,0,1,1,2,0,0,2,0,0.325158121,0
122,다사580079,0,0,0,4346.02,640.41,748.9,0,0,1,0,0,0,0,1,0.367791101,0
123,다사580080,0,0,0,760.27,148.84,180.43,0,0,3,0,0,0,0,4,0.767617923,6
124,다사580088,0,18,0,4402.89,0,0,0,0,0,0,0,0,0,0,0,0
125,다사580089,0,0,0,6882.43,116.1,234.39,0,0,0,0,0,0,3,0,0,0
126,다사580090,0,0,0,6882.43,116.1,234.39,0,0,0,0,0,0,5,1,0,0
127,다사580091,0,0,0,1311.72,50.77,113.88,0,0,0,0,0,0,3,0,0,0
128,다사580092,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,다사580104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,다사580105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,다사580108,0,12,0,39156.14,125.46,205.09,0,0,0,0,1,0,0,0,0,0
132,다사580109,0,0,0,39156.14,125.46,205.09,0,0,0,0,0,0,0,0,0,0
133,다사581070,0,0,0,10189.59,283.34,332.26,0,0,0,0,0,0,3,4,0,1
134,다사581072,0,0,0,1504.44,257.64,393.44,0,0,1,0,0,0,1,1,0.265623054,0
135,다사581078,0,786,194,2096.12,506.02,576.18,0,0,0,3,0,0,1,0,0,0
136,다사581079,0,146,30,2096.12,506.02,576.18,0,0,0,1,0,0,1,0,0,0
137,다사581080,0,264,73,2096.12,506.02,576.18,0,0,0,2,0,0,0,2,0,0
138,다사581082,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.257456537,0
139,다사581089,0,6,0,9047.39,0,0,0,0,0,0,0,0,1,1,0,0
140,다사581090,0,11,0,21681.39,134.97,235.65,0,0,0,0,0,0,5,8,0,0
141,다사581091,1,0,0,21681.39,134.97,235.65,0,0,0,0,0,0,1,0,0,0
142,다사581093,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,다사581104,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
144,다사581106,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,다사581107,0,43,0,38909.24,215.36,327.22,0,0,0,0,1,0,1,0,0,0
146,다사581108,0,0,0,66503.63,405.2,629.12,0,0,5,0,1,0,15,4,1.34279126,0
147,다사581109,0,0,0,48336.52,331.62,512,0,0,0,0,1,0,0,1,0,0
148,다사582070,1,0,0,5115.34,125.73,156.49,0,0,0,0,0,0,1,0,0,0
149,다사582071,1,0,0,5115.34,125.73,156.49,0,0,0,0,0,0,0,0,0,0
150,다사582072,1,0,0,1504.44,257.64,393.44,0,0,2,0,0,0,0,6,0.630140505,0
151,다사582074,0,0,0,1702.16,345.15,518.78,0,0,1,0,0,1,0,0,0.259262955,0
152,다사582075,0,0,0,1702.16,345.15,518.78,0,0,4,0,0,1,0,8,1.241350145,0
153,다사582078,0,269,61,0,0,0,0,0,0,0,0,0,0,0,0,0
154,다사582079,0,484,110,588.19,180.89,198.06,0,0,0,1,0,0,0,0,0,0
155,다사582080,0,467,101,0,0,0,0,0,0,2,0,0,3,0,0,0
156,다사582081,0,0,0,2764.02,15.49,44.2,0,0,0,0,0,0,5,0,0,5
157,다사582090,0,0,0,19210.06,0,0,0,0,0,0,0,0,1,0,0,0
158,다사582091,1,0,0,5881.96,84.2,121.77,0,0,0,0,0,0,0,0,0,0
159,다사582093,1,13,0,1159.61,84.2,121.77,0,0,0,0,0,0,0,0,0,0
160,다사582106,0,27,0,0,0,0,0,0,0,0,1,0,2,0,0,0
161,다사582107,0,0,0,39781.03,128.23,213.18,0,0,0,0,1,0,14,0,0,0
162,다사582108,0,0,0,65481.48,464.09,679.47,13,0,1,0,1,0,22,0,0.365821988,3
163,다사582109,0,172,33,20886.3,603.94,853.45,0,0,1,1,1,0,1,0,0.316602466,0
164,다사582110,0,11,0,11999.84,213.66,292.11,0,0,0,0,0,0,0,0,0,0
165,다사583056,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,다사583057,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,다사583059,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,다사583070,1,0,0,24554.94,612.33,772.61,0,0,0,0,0,0,14,2,0,0
169,다사583071,1,0,0,25329.62,666.39,884.43,0,0,1,0,0,0,2,1,0.59758038,0
170,다사583072,1,0,0,12666.89,347.49,664.02,0,0,0,0,0,0,0,0,0,0
171,다사583073,1,0,0,3600.34,70.77,185.16,0,0,0,0,0,0,2,0,0,0
172,다사583074,1,0,0,578.49,91.49,170.09,0,0,0,0,0,1,0,0,0,0
173,다사583075,0,0,0,578.49,91.49,170.09,0,0,0,0,0,1,0,0,0,0
174,다사583076,0,0,0,627.51,109.56,157.35,0,0,0,0,0,1,0,0,0,0
175,다사583081,0,0,0,5570.2,145.64,192.32,0,0,1,0,0,0,0,0,0.236705106,0
176,다사583082,0,0,0,2764.02,15.49,44.2,0,0,0,0,0,0,7,0,0,0
177,다사583083,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
178,다사583089,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,다사583093,1,0,0,1159.61,84.2,121.77,0,0,0,0,0,0,0,0,0,0
180,다사583095,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,다사583097,1,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0
182,다사583098,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,다사583106,0,0,0,37094.04,44.77,82.1,0,0,1,0,1,0,6,0,0.304713939,0
184,다사583107,0,0,0,57822.93,350.57,556.78,0,0,0,0,1,0,3,0,0,0
185,다사583108,0,264,45,35788.04,303.37,414.13,13,2,0,1,1,0,18,0,0,11
186,다사583109,0,506,61,14660.77,506.83,689.16,0,0,0,3,0,0,33,0,0,0
187,다사584048,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,다사584049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,다사584059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,다사584070,1,0,0,24635.06,612.33,772.61,0,0,0,0,0,0,8,1,0,0
191,다사584071,1,0,0,33472.65,1133.34,1565.22,0,0,7,0,0,0,2,3,2.338506854,0
192,다사584072,1,0,0,14978.65,598.67,1031.54,0,0,4,0,0,0,2,8,2.072809312,0
193,다사584073,1,0,0,10985.47,273.47,582.06,0,0,0,0,0,0,0,0,0,0
194,다사584074,1,0,0,12148.3,244.13,645.97,0,0,0,0,0,0,3,1,0,2
195,다사584075,0,0,0,12148.3,244.13,645.97,0,0,4,0,0,0,2,7,1.984919233,2
196,다사584076,0,0,0,12229.75,271.22,659.48,0,0,0,0,0,1,3,0,0,0
197,다사584077,0,0,0,12425.26,254.84,593.78,0,0,4,0,0,1,0,8,2.03433241,1
198,다사584080,0,0,0,8422.57,154.41,225.96,0,0,0,0,1,0,0,0,0,1
199,다사584081,0,0,0,8422.57,154.41,225.96,0,0,3,0,1,0,3,7,1.340640704,7
200,다사584082,0,0,0,5570.2,145.64,192.32,0,0,0,0,0,0,0,0,0,0
201,다사584094,1,0,0,6061.41,126.66,159.12,0,0,0,0,0,0,0,0,0,0
202,다사584095,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
203,다사584098,1,78,19,0,0,0,0,0,0,0,0,0,0,0,0,0
204,다사584101,0,334,42,1124.64,157.25,189.04,0,0,0,2,0,0,6,0,0,0
205,다사584102,0,0,0,1124.64,157.25,189.04,0,0,0,1,0,0,1,0,0,0
206,다사584103,0,0,0,1124.64,157.25,189.04,0,0,0,0,0,0,3,0,0,0
207,다사584105,1,0,0,17604.25,10.27,35.15,0,0,1,0,0,0,1,0,0.290126945,0
208,다사584106,1,0,0,19044.85,122.1,199.39,0,0,0,0,0,0,9,0,0,6
209,다사584107,0,172,22,39313.29,603.85,841.4,0,0,3,1,1,0,9,0,0.939803869,0
210,다사584108,0,0,0,3798.17,295.63,457.7,0,0,1,0,1,0,0,0,0.257653647,0
211,다사584109,0,0,0,1280.99,104.4,154.21,0,0,0,0,0,0,0,0,0,0
212,다사584110,0,59,8,9740.6,170.92,321.29,0,0,0,1,0,1,9,0,0,1
213,다사585045,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
214,다사585059,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0
215,다사585069,0,0,0,123.19,181.46,198.1,0,0,0,0,0,0,1,0,0,0
216,다사585071,1,0,0,8580.06,484.76,621.91,0,0,9,0,0,1,4,0,2.389153117,0
217,다사585072,1,0,0,2723.81,346.27,465.27,0,0,1,0,0,1,1,0,0.403921905,0
218,다사585074,1,0,0,738.45,80.41,159.56,0,0,0,0,0,0,0,0,0,0
219,다사585075,0,0,0,738.45,80.41,159.56,0,0,0,0,0,0,0,0,0,0
220,다사585076,0,0,0,3541.2,67.11,210.13,0,0,0,0,0,0,0,0,0,0
221,다사585077,0,0,0,9845.07,244.39,531.51,0,0,0,0,0,1,1,0,0,0
222,다사585081,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0
223,다사585094,1,0,0,5740.64,26.66,59.12,0,0,0,0,0,0,15,2,0,0
224,다사585095,1,0,0,5740.64,26.66,59.12,0,0,0,0,0,0,1,0,0,0
225,다사585096,1,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0
226,다사585097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,다사585098,1,72,11,0,0,0,0,0,0,0,0,0,0,0,0,0
228,다사585099,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,다사585101,1,184,21,0,0,0,0,0,0,0,0,0,5,0,0,0
230,다사585102,0,736,105,1124.64,157.25,189.04,0,0,0,2,0,0,26,0,0,0
231,다사585103,0,184,23,1124.64,157.25,189.04,0,0,0,2,0,0,4,0,0,0
232,다사585104,1,0,0,3796.49,187.86,261.98,0,0,0,0,0,0,5,0,0,0
233,다사585105,1,0,0,33991.02,11.51,38.09,0,0,0,0,1,0,6,0,0,0
234,다사585106,1,15,0,22040.54,610.43,827.14,0,0,2,0,1,0,27,0,0.423843995,0
235,다사585107,1,428,83,5691.64,610.19,824.32,0,0,1,2,1,0,9,0,0.285996322,0
236,다사585108,1,383,79,1539,298.99,352.78,0,1,0,3,1,0,3,0,0,0
237,다사585109,0,217,41,2625.5,234.65,323.61,0,0,1,3,0,0,6,0,0.25848598,0
238,다사585110,0,214,48,24028.66,622.19,972.64,0,0,1,1,0,1,5,0,0.277898303,0
239,다사585111,0,0,0,22747.67,517.79,818.43,0,0,5,0,0,1,0,4,1.496024525,0
240,다사586043,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
241,다사586057,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,다사586059,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,다사586060,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,다사586065,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,다사586067,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,다사586068,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,다사586069,0,25,0,17751.13,560.94,689.64,0,0,0,0,1,0,0,0,0,0
248,다사586071,1,0,0,10415.91,784.36,1017.42,0,0,9,0,1,1,4,0,2.387196728,0
249,다사586072,1,0,0,4242.69,645.87,860.78,0,0,4,0,0,1,3,8,1.718174158,0
250,다사586073,1,0,0,818.62,80.36,135.74,0,0,1,0,0,1,0,0,0.275323463,0
251,다사586074,1,0,0,3588.26,335.61,577.8,0,0,3,0,0,0,1,4,0.877580821,0
252,다사586075,0,0,0,3588.26,335.61,577.8,0,0,2,0,0,0,0,4,0.569229409,0
253,다사586076,0,0,0,2080.97,157.03,308.92,0,0,1,0,0,0,2,0,0.276348123,0
254,다사586077,0,0,0,2080.97,157.03,308.92,0,0,1,0,0,0,0,0,0.250526993,0
255,다사586081,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
256,다사586093,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
257,다사586094,1,0,0,5740.64,26.66,59.12,0,0,0,0,0,0,7,0,0,0
258,다사586095,1,0,0,11293.49,26.66,59.12,0,0,0,0,0,0,0,3,0,0
259,다사586096,1,0,0,11293.49,26.66,59.12,0,0,0,0,0,0,0,0,0,0
260,다사586098,1,26,0,449.02,88.1,94.5,0,0,0,0,0,0,1,0,0,0
261,다사586099,1,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0
262,다사586100,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,다사586102,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
264,다사586103,1,194,19,2541.14,177.83,229.65,0,0,0,5,0,0,0,0,0,0
265,다사586104,1,0,0,20183.26,189.1,264.92,0,0,2,2,0,0,6,6,0.422617024,0
266,다사586105,1,42,0,37806.36,314.92,436.27,0,0,2,0,1,0,2,0,0.388504864,4
267,다사586106,1,86,16,20692.61,305.09,466.41,0,0,3,0,1,0,4,0,0.608609016,3
268,다사586107,1,550,80,3898.31,303.77,461.51,0,0,0,1,0,0,8,0,0,0
269,다사586108,1,277,58,0,0,0,13,1,0,3,0,0,7,0,0,0
270,다사586109,0,552,87,967.75,191.5,197.93,0,0,0,3,0,0,3,0,0,0
271,다사586110,0,301,71,8865.23,378.65,499.02,0,0,1,3,0,1,10,0,0.406147744,0
272,다사586111,0,0,0,8865.23,378.65,499.02,0,0,1,0,0,1,0,0,0.414434212,0
273,다사587043,1,0,0,21764.94,995.18,998.52,0,0,0,0,0,0,8,1,0,0
274,다사587044,1,0,0,11794.83,496.67,498.89,0,0,0,0,0,0,0,0,0,0
275,다사587047,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,다사587049,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
277,다사587056,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,다사587058,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,다사587065,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,다사587067,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
281,다사587068,1,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0
282,다사587069,1,6,0,26589.77,606.02,823.55,0,0,0,0,1,0,5,1,0,0
283,다사587070,1,0,0,26754.65,606.02,823.55,0,0,3,0,1,0,3,2,1.018723587,3
284,다사587071,1,0,0,7211.35,397.98,598.31,0,0,0,0,1,1,3,1,0,0
285,다사587072,1,0,0,7865.09,478.34,734.05,0,0,1,0,0,1,0,7,0.449506024,0
286,다사587073,1,0,0,2400.66,139.77,231.22,0,0,0,0,0,1,0,2,0,0
287,다사587074,1,0,0,6037.09,511.1,851.27,0,0,2,0,0,0,0,3,0.53894519,0
288,다사587075,0,0,0,6037.09,511.1,851.27,0,0,0,0,0,0,1,0,0,0
289,다사587076,0,0,0,3579.55,473.11,686.91,0,0,0,0,0,0,0,0,0,0
290,다사587095,1,0,0,11293.49,26.66,59.12,0,0,0,0,0,0,3,1,0,0
291,다사587098,1,49,0,449.02,88.1,94.5,0,0,0,0,0,0,2,0,0,0
292,다사587099,1,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0
293,다사587100,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,다사587101,1,24,0,1142.23,77.67,130.97,0,0,0,0,1,0,0,0,0,0
295,다사587102,1,0,0,21449.06,285.63,405.03,0,0,1,0,1,0,1,1,0.397308011,0
296,다사587103,1,0,0,32000.37,783.22,1063.55,0,0,3,0,1,1,1,4,0.886898508,0
297,다사587104,1,62,7,33334.97,704.74,986.51,0,0,2,0,0,1,1,0,0.363913352,1
298,다사587105,1,91,24,4125.48,195.69,276.58,0,0,2,0,1,1,1,0,0.468592812,0
299,다사587106,1,396,65,6116.97,180.69,311.14,0,0,0,0,1,0,9,0,0,3
300,다사587107,1,629,143,3711.09,111.66,205.17,0,0,0,5,1,0,9,0,0,0
301,다사587108,1,553,107,2530.15,12.36,47.55,0,0,0,4,0,0,16,0,0,0
302,다사587109,0,519,91,0,0,0,0,0,0,5,0,0,7,0,0,0
303,다사587110,0,213,34,2712.29,80.71,129.9,0,0,0,1,1,0,4,0,0,0
304,다사588042,1,0,0,18136.99,750.07,771.19,0,0,0,0,0,0,15,0,0,0
305,다사588043,1,0,0,28226.43,1146.74,1170.08,0,0,3,0,0,0,1,4,0.678701939,0
306,다사588044,1,0,0,28226.43,1146.74,1170.08,0,0,0,0,0,0,1,0,0,0
307,다사588045,1,13,6,5900.14,197.91,199.19,0,0,0,0,0,0,1,0,0,0
308,다사588048,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,다사588068,1,0,0,6700.49,122.9,156.34,0,0,0,0,1,0,4,0,0,0
310,다사588069,1,0,0,7497.38,273.64,347.64,0,0,0,0,1,0,1,0,0,0
311,다사588070,1,0,0,7497.38,273.64,347.64,0,0,0,0,1,0,0,2,0,0
312,다사588071,1,0,0,3702.44,220.22,355.6,0,0,0,0,0,1,4,1,0,6
313,다사588072,1,0,0,5284.48,279.63,451.08,0,0,0,0,0,1,0,2,0,28
314,다사588073,1,0,0,1582.04,59.41,95.48,0,0,0,0,0,0,1,0,0,0
315,다사588074,1,0,0,3394.88,249.96,394.91,0,0,0,0,0,0,2,3,0,0
